move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
000053424522423604432555140123663516,-1.000,0.245,-1.000,-0.635,-1.000,-1.000,0.635,6
006423234060134156026504241225114165,-1.000,-1.000,-1.000,-0.635,-1.000,-0.635,-0.635,3
004523056062322353103122555011366466,-1.000,0.245,-1.000,-1.000,0.635,-1.000,-1.000,4
004340510523430654312413346625625206,-1.000,-0.635,0.000,-1.000,-1.000,0.000,0.000,2
005510303652224104145465264012662534,-1.000,-0.635,-1.000,0.635,-1.000,-1.000,-0.635,3
00231560330310344552321066562164115,-1.000,-1.000,0.762,-1.000,-0.635,-0.635,-0.635,2
00355300453222244362652331666006551,-1.000,-0.635,-1.000,-1.000,0.762,-1.000,-1.000,4
00144236005551405360655116224212261,-1.000,-1.000,-1.000,-0.635,-0.635,-1.000,-0.635,3
00654466323245342624020365062041331,-1.000,-0.635,-1.000,-1.000,-1.000,0.762,-1.000,5
00610404224220410352645614323565561,-1.000,-0.635,-1.000,0.762,-1.000,-0.635,-0.635,3
00045406505506453145112116422124223,-1.000,-1.000,-1.000,-0.635,-1.000,-1.000,0.762,6
00542164006313234404322331401512565,-1.000,0.000,0.000,-1.000,-1.000,0.762,0.000,5
00214301245245652604626241643036350,-1.000,0.762,-1.000,0.762,-1.000,0.762,-1.000,1
0052300663061304613541334514261641,-1.000,-1.000,0.462,-1.000,-0.762,-0.762,-1.000,2
0024263651033226603353242415400145,-1.000,0.762,-1.000,-1.000,-0.762,0.762,-0.762,1
0013214652050662665440261505351114,-1.000,-1.000,-0.762,0.762,-0.762,-1.000,-1.000,3
0050661212236114026125020665445515,-1.000,-1.000,-1.000,0.762,0.000,-1.000,-1.000,3
0051100365062041466263512454651145,-1.000,-1.000,-0.762,0.462,-0.762,-1.000,-1.000,3
0066620136146211052530556423014123,-1.000,-1.000,0.762,-0.762,0.000,-0.762,-1.000,2
0040140403150621526553351651124433,-1.000,-1.000,0.762,-0.762,-0.762,-1.000,0.762,2
0010020444421531612455453663032652,-1.000,-0.762,-0.635,-0.762,-1.000,-0.635,-0.635,2
006015514533640153500266116154633,-1.000,-1.000,0.848,0.635,-0.762,-1.000,-1.000,2
005633316333115252052212402510104,-1.000,-1.000,-1.000,-1.000,0.848,-0.762,-0.762,4
000366440304332446503431626255126,-1.000,0.635,0.848,-1.000,-1.000,0.848,-1.000,2
005560116425400445461602565143116,-1.000,-1.000,0.635,0.848,-1.000,-1.000,-1.000,3
000136023424451133615364136660055,-1.000,0.462,-0.762,-1.000,0.635,0.462,-1.000,4
000323651600616021524455431456611,-1.000,-1.000,0.848,0.848,-0.762,-0.762,-1.000,2
001012052406411506665412624612254,-1.000,-1.000,-1.000,0.848,0.635,0.635,-1.000,3
003662513406636030525203641145111,-1.000,-1.000,0.848,0.635,0.848,0.635,-1.000,2
001051015565540116162546232260444,-1.000,-1.000,-0.762,0.462,-0.762,-1.000,-0.762,3
000312032056605115525533162341631,-1.000,-1.000,0.848,-1.000,0.462,-1.000,-0.762,2
003641116654524410345015126256364,0.848,-1.000,0.848,0.635,-1.000,-0.762,-1.000,0
005614254310134452216604215014032,-1.000,-1.000,-0.762,0.848,-1.000,0.848,-0.762,3
003013163452650155065513363114662,0.635,-1.000,0.635,-1.000,0.848,-1.000,-1.000,4
00651155025325506242366206343360,-1.000,-0.848,-0.848,-0.848,0.848,-1.000,-1.000,4
00161111424461336446402033663552,-0.462,-1.000,-0.848,-0.848,-1.000,-0.848,-1.000,0
00164341502422146131222305564566,-0.848,-0.848,-1.000,-0.762,-0.848,-0.848,-0.848,3
00043050414611535641321513043632,-1.000,-1.000,0.848,-1.000,-0.848,-0.848,0.848,2
00231021514462664610120125624403,-1.000,-1.000,-1.000,0.848,-0.848,-0.848,-0.848,3
00631013003266553053312665624411,-1.000,-0.848,0.848,-1.000,-0.848,-0.848,-1.000,2
00455250020153410261242536521166,-1.000,-0.848,-1.000,0.000,-0.848,-1.000,-0.848,3
00524441562505311241546511436360,-0.848,-1.000,-0.848,-0.848,-1.000,-1.000,0.848,6
00653555452230520621400233121644,-1.000,-0.848,-1.000,-0.848,-0.848,-1.000,0.848,6
00436630225112125526150241134055,-0.848,-1.000,-1.000,0.848,0.848,-1.000,-0.848,3
00024361345651511622012566546214,-0.848,-1.000,-0.848,-0.848,-0.848,-0.848,-1.000,0
00364435513505536302506202143121,-1.000,0.848,0.000,-1.000,-0.762,-1.000,0.635,1
00551453655622465444166160312313,-0.762,-0.848,-0.848,-0.848,-0.848,-1.000,-1.000,0
00462134453603131066614215622410,0.000,-1.000,0.000,0.000,0.000,0.000,-1.000,0
00601501065163556133130523344246,-1.000,-0.848,-0.848,-1.000,-0.848,-0.848,-0.848,1
00456662350416453650531131060534,-1.000,0.462,0.000,0.462,0.462,-1.000,-1.000,1
0062650136162102112323524103356,-0.848,-1.000,-1.000,-0.848,-0.848,-0.848,-0.848,0
0023366151425601006415120264652,-1.000,0.762,0.762,0.905,0.762,0.762,-1.000,3
0036300035615365041462211451434,-1.000,-0.848,-0.848,-0.848,-0.848,-0.848,-0.848,1
0014144025400024612653411232521,-1.000,-1.000,-1.000,0.905,-1.000,-0.848,-0.848,3
0015664063600624462152451503421,-1.000,-0.848,-0.848,0.905,-0.848,-0.848,-1.000,3
0026564140033400411456553113341,-1.000,-1.000,0.762,0.905,-1.000,-0.848,0.905,3
0042226310362634444113655653051,-0.762,0.000,0.000,0.000,0.000,0.000,0.000,1
0053433266250035205503664225644,-1.000,-0.848,-0.848,-0.848,-0.848,-1.000,-0.848,1
0053354044442106533345352166625,0.762,0.905,0.762,-1.000,-1.000,-1.000,0.905,1
0040535164560066352356242045464,-1.000,-0.848,-0.635,-0.848,-1.000,-1.000,-1.000,2
0020555215540610230561414316236,-1.000,-0.848,-0.848,0.905,-0.848,-1.000,-0.848,3
0006256502401124461114014564626,-1.000,-1.000,-0.848,0.762,-1.000,0.905,-1.000,5
0053252662400145202011165453146,-1.000,-0.848,-0.848,0.905,-0.848,-0.848,-0.848,3
0031441005644333635262231614065,-0.848,0.762,-0.848,-1.000,-0.848,0.905,-0.848,5
0032145133203314644351546545201,0.905,0.762,0.762,-1.000,-1.000,0.762,0.905,0
0055504513335013060656313261262,-1.000,-0.848,0.905,-1.000,0.762,-1.000,-0.848,2
0043666634614451631450212154120,-0.848,-1.000,0.905,0.905,-1.000,-0.848,-1.000,2
0041142605016611210654535550664,-1.000,-1.000,0.462,-0.635,-0.762,-1.000,-1.000,2
0061202123411266501561640304644,-1.000,-1.000,0.762,0.762,0.762,0.762,-1.000,2
0032444256140346554555201620636,-0.848,-0.848,-0.848,-0.848,-1.000,-1.000,-0.848,0
0000644646405522046252462363525,-1.000,-0.848,-1.000,-0.848,-1.000,-0.848,-1.000,1
0046224562252206633315164361013,-0.848,-0.848,-1.000,-0.848,-0.848,0.905,-1.000,5
003643310013114563325404611602,-1.000,-1.000,0.905,-1.000,-0.462,-0.905,-0.762,2
001154120163026435506516015236,-1.000,-1.000,0.905,-0.905,0.905,-0.905,-0.905,2
003402265014364463530043223164,-1.000,-0.905,-0.905,-1.000,-1.000,-0.905,-0.905,1
001062040624453220525531244435,-1.000,0.905,-1.000,0.905,-1.000,0.762,0.905,1
005665233426543210202663610011,-1.000,-0.905,-0.905,-0.905,0.762,-0.905,-1.000,4
