move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
000211604065644405214416551522266523,-1.000,0.245,-1.000,0.635,-1.000,-1.000,-1.000,3
000331045341362563122110125664220366,-1.000,-1.000,-1.000,-1.000,0.000,-0.635,-1.000,4
001655600442400665646222521353335443,-1.000,0.635,-0.635,0.635,-1.000,-1.000,-1.000,1
002166421356654345542132641564521312,-0.635,-1.000,-1.000,-0.462,-1.000,-1.000,-1.000,3
006304566636033111462101505444355342,-1.000,-0.635,0.635,-1.000,-1.000,-0.635,-1.000,2
003251462105561655612434522062414100,-1.000,-1.000,-1.000,0.635,-0.635,-1.000,-0.635,3
006111440112226336010625442524346633,0.635,-1.000,-1.000,-0.635,-1.000,0.245,-1.000,0
004220611543660222520516455615610333,-1.000,-0.635,-1.000,-0.635,0.635,-1.000,-1.000,4
00635041634654511506006523254112243,-1.000,-0.635,-0.635,0.462,-0.635,-1.000,-0.635,3
00550062306655213136156054131263444,-1.000,-0.635,-0.635,-0.635,0.762,-1.000,-1.000,4
00520266644006024114241531516145622,-1.000,-1.000,-1.000,0.762,-1.000,0.462,-1.000,3
00325635001330644153216665510643254,-1.000,0.762,0.762,-1.000,0.462,-1.000,-1.000,1
00162312502161420666541155225435400,-1.000,-1.000,-1.000,-0.635,-0.462,-1.000,-0.462,4
00556246614314054010133403516534635,-1.000,-0.635,-0.635,-1.000,-1.000,-1.000,-0.462,6
00211154622630326555444630006546514,-1.000,-0.635,-0.635,0.762,-1.000,-1.000,-1.000,3
00430522014534555666105164220124216,-1.000,0.762,-1.000,0.762,0.762,-1.000,0.462,1
00550041410561134352546122046666242,-1.000,-0.635,-0.635,0.000,-1.000,-0.635,-1.000,3
00024224511445064450160511155326626,-1.000,-1.000,-0.635,0.762,-1.000,-1.000,-0.635,3
00234202322116163133106565035025146,-1.000,-1.000,-1.000,-1.000,-0.635,-0.635,-0.635,4
00140441120414305664661260356152252,-1.000,-1.000,-0.635,-0.635,-1.000,-0.635,-1.000,2
00664532562222120461514456401533615,-0.635,-0.635,-1.000,0.000,-0.635,-1.000,-1.000,3
00202143410314020155562414533266214,-1.000,-1.000,-1.000,0.462,-1.000,-0.635,-0.635,3
0010236431005036422234154125211665,-1.000,-1.000,-1.000,0.762,-0.762,0.000,-0.762,3
0060042616021521232662553541115363,-0.762,-1.000,-1.000,0.762,-0.762,-0.762,-1.000,3
0043656605252322505263603130214563,-1.000,-0.762,-1.000,-1.000,0.462,-1.000,-1.000,4
0026666642240551130510302141152255,-1.000,-1.000,-1.000,0.762,0.462,-1.000,0.462,3
0044350601413501522334601545615361,-1.000,-1.000,0.762,0.462,0.462,-1.000,0.762,2
0064154434453405533232305625200111,-1.000,-0.762,0.762,-1.000,-1.000,-1.000,0.762,2
0045622465544042060204123165552111,-1.000,-0.762,-1.000,-0.762,-1.000,-1.000,-0.762,1
0046160630621406521152406553515133,-1.000,-1.000,0.000,-0.762,0.762,-1.000,-1.000,4
0000242642305321664502531634351345,-1.000,0.462,-0.762,-1.000,0.762,-0.762,-0.762,4
0041331622255065223142561341656456,-0.762,-0.762,-1.000,0.000,-0.762,-1.000,-1.000,3
0046321124056053652401134056225563,-1.000,-0.762,-0.762,0.000,-0.762,-1.000,-0.762,3
0053053642625563151612350160206421,-1.000,0.000,-0.462,-0.462,-0.762,-1.000,-1.000,1
005121563136325465251514031442043,-0.635,-1.000,-0.762,-0.762,-0.762,-1.000,-0.762,0
000630362321521304126462402664335,-1.000,0.848,-1.000,-1.000,0.635,-0.762,-1.000,1
004441021624651025313144231053025,-1.000,-1.000,-0.245,0.848,-1.000,-0.245,-0.245,3
002601421115261120244265540646540,-1.000,-1.000,-1.000,0.848,-1.000,0.635,0.635,3
006353510004241422411024412621553,-1.000,-1.000,-1.000,-0.762,-1.000,-0.762,-0.762,3
003032140436236642111066161034542,-1.000,-1.000,0.000,0.462,0.000,0.000,-1.000,3
006521422430230452113463135541624,0.848,0.848,-1.000,-0.762,-1.000,-0.762,0.848,0
001150530233035616223555342614212,-0.462,-0.462,-1.000,-1.000,-0.762,-1.000,0.848,6
002463464663616514054504011031132,-1.000,-1.000,0.635,0.848,-1.000,0.848,-1.000,3
005152111620266200550621631525633,-1.000,-1.000,-1.000,0.635,0.848,-1.000,-1.000,4
000315336555413225164660046265112,-0.762,-0.762,-0.762,-0.762,0.000,-1.000,-1.000,4
000321623362033351200642162441514,-1.000,-0.762,-1.000,-1.000,0.848,0.848,-0.762,4
006321645035065215646642221200143,-1.000,-0.762,-1.000,-0.762,-0.762,-0.762,-1.000,1
005654200061065635655634114421211,-1.000,-1.000,-0.762,0.848,-0.762,-1.000,-1.000,3
006316330105336555361505202144444,-1.000,0.635,0.000,-1.000,0.635,-1.000,0.462,1
00541163154066123265654434615215,-0.848,-1.000,0.848,-0.848,-0.848,-1.000,-1.000,2
00606456412512414502110402413326,-1.000,-1.000,-0.848,-0.635,-1.000,-0.848,-0.848,3
00155041225500115335361062212633,-1.000,-1.000,0.635,0.635,0.848,-1.000,0.635,4
00545005236334535605064223442322,-1.000,-0.848,-1.000,-1.000,-0.848,-1.000,-0.848,1
00666551156012066331350205315144,-1.000,-1.000,0.848,0.848,0.848,-1.000,-1.000,2
00623422564246012121531666403351,-0.848,-0.848,-1.000,0.848,0.848,0.848,-1.000,3
00450315662640556366251100152224,-1.000,-0.762,-0.762,0.635,0.635,-1.000,-1.000,3
00550221462453304502524623356604,-1.000,0.848,-1.000,0.848,0.635,-1.000,0.635,1
00122113551406454116044242632506,0.848,-1.000,-0.848,-0.848,-1.000,-0.762,-0.848,0
00524605321450422461220051116641,-1.000,-1.000,-1.000,0.635,-0.848,-0.848,-0.848,3
00566360155601112446505165212434,-0.462,-1.000,0.848,-0.848,-0.462,-1.000,-1.000,2
00126516206243262644010306331132,-1.000,-0.462,-1.000,-0.462,0.848,-0.462,-1.000,4
00330204024032236246655136261556,-1.000,-0.848,-1.000,0.245,0.000,-0.462,-1.000,3
00061530031244562601226632515412,-1.000,-0.848,-1.000,0.848,0.848,0.848,-0.848,3
00116443222625425433626316645431,0.000,-0.635,-1.000,0.000,-1.000,0.848,-1.000,5
00323061341440612332340655410565,-1.000,-0.848,-0.848,-1.000,-0.848,-0.848,-0.848,1
00635460560224145641054554662220,-1.000,-0.848,-0.848,0.635,-1.000,-1.000,-1.000,3
00316223056132265524346050206415,-1.000,-0.848,-1.000,-0.848,0.848,-0.848,-0.848,4
00665204064333166453503203116541,-1.000,-0.848,-0.848,-1.000,-0.848,-0.848,-1.000,1
00556610040510425255412261116464,-1.000,-1.000,-0.462,0.635,-0.462,-1.000,0.848,6
00025520321110501656424264544526,-1.000,-0.462,-1.000,-0.762,-0.635,-1.000,-0.635,1
00056026455441046641120156122416,-1.000,-1.000,-0.635,-0.848,-1.000,-0.635,-1.000,2
00002103304452126352262363344654,-1.000,-0.848,-1.000,-1.000,-0.848,0.848,-0.848,5
0003265420502605424461525416632,-1.000,0.000,-1.000,-0.848,-0.762,-0.762,-0.762,1
0000006511445344241431511555636,-1.000,-1.000,-0.848,-0.848,-1.000,-1.000,-0.848,2
0042635006042533201236446443625,-1.000,-0.848,-0.848,-0.848,-1.000,-0.848,-0.848,1
0032156436406345103534120163141,-0.848,-1.000,0.762,-1.000,-0.848,0.905,-0.848,5
0050605416633264004355454116121,-1.000,-0.848,-0.848,-0.848,-0.848,-0.848,-0.848,1
0051401300321630332666641232215,-1.000,-0.848,-0.848,-1.000,0.000,0.905,-0.848,5
0015350304600111131645535434636,-1.000,-1.000,-0.848,-1.000,-0.848,-0.848,-0.848,2
0022224554664221440543613533606,-0.848,0.905,-1.000,-0.848,-1.000,-0.848,-0.848,1
0006442210564623606620344534132,-1.000,0.905,-0.848,-0.848,-1.000,-0.848,-1.000,1
0006301544122452416654135015262,-0.848,-0.848,-0.848,0.905,-0.848,-0.848,-0.848,3
0023100164622244325040662361643,-1.000,-0.848,-1.000,0.905,-0.848,0.000,-1.000,3
