move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
000450541210326601113632251625245544,-1.000,-1.000,-1.000,0.635,-0.635,-1.000,-0.635,3
003043326640042552044113163115556361,-1.000,-1.000,0.635,-1.000,-0.635,-0.635,-0.635,2
002204502506445262201155566164464111,-1.000,-1.000,-1.000,0.635,-1.000,-1.000,-1.000,3
005106115421161322552202044565646644,0.635,-1.000,-1.000,-0.635,-1.000,-1.000,-1.000,0
00046451432201226436556524256064013,-1.000,0.762,-1.000,0.762,-1.000,0.762,-1.000,1
00204420112202066256434653415164631,-1.000,-0.635,-1.000,0.762,-1.000,0.462,-1.000,3
00465121634030640413402141366552353,-1.000,-0.635,0.762,-1.000,-1.000,-0.635,-0.635,2
00023252556456055426303362662131101,-1.000,-0.635,-1.000,-0.635,0.462,-1.000,-1.000,4
0010610640146444531433302231666513,-1.000,-1.000,0.762,-1.000,-1.000,0.462,-1.000,2
0023154046650422250142604126366154,-1.000,-0.762,-1.000,0.762,-1.000,-0.762,-1.000,3
0002145324160300533143365612151444,-1.000,-1.000,0.762,-1.000,-1.000,-0.762,-0.762,2
0043332016040160534314214231412655,-1.000,-1.000,-0.762,-1.000,-1.000,0.762,0.000,5
0063562245620641121446103134261032,0.462,-1.000,-1.000,0.762,0.462,0.462,-1.000,3
0003160551315351632552123122062340,-1.000,-1.000,-1.000,-1.000,0.762,-1.000,0.462,4
0012562210142641220414615565405450,-1.000,-1.000,-1.000,0.762,-1.000,-1.000,0.462,3
002522036203465032450421165634551,-1.000,0.848,-1.000,0.848,0.635,-1.000,0.848,1
004201110334223052032516126146656,-1.000,-1.000,-1.000,0.848,-0.762,0.635,-0.762,3
006342115236254010614514124226005,-1.000,-1.000,-1.000,-0.762,-0.762,-0.762,-0.762,3
002633613060255401566222263331550,-1.000,0.848,-1.000,-1.000,-0.762,-0.635,-1.000,1
005262365430144641611012213336035,-0.762,-1.000,-0.762,-1.000,0.848,-0.762,-0.762,4
005601014461156013025626525212453,-1.000,-1.000,0.848,0.462,-0.762,-1.000,-0.762,2
001350341314423346630120051664124,-1.000,-1.000,-0.762,-1.000,-1.000,-0.762,-0.635,6
003130654303050614321662424436615,-1.000,0.000,0.848,-1.000,0.000,-0.462,-1.000,2
003640544243500542126324560663223,-1.000,0.848,-1.000,-0.762,-1.000,0.635,-0.762,1
000552226521214255516300344360144,-1.000,-0.762,-1.000,-0.762,-0.762,-1.000,0.848,6
005324301126561511144265546464250,-0.762,-1.000,-0.762,-0.762,-1.000,-1.000,0.462,6
000366435362223503316621600255455,-1.000,-0.762,0.462,-1.000,0.848,-1.000,-1.000,4
00504606100355654461356232465421,-1.000,0.848,0.848,0.635,0.635,-1.000,-1.000,1
00023245351456166341666105523354,-0.848,-0.848,-0.635,-0.848,-0.848,-1.000,-1.000,2
00644642465464220353600260231512,-1.000,-0.848,-1.000,0.848,-1.000,-0.848,-1.000,3
00165206650245104102642624516423,-1.000,-0.848,-1.000,-0.848,-0.848,-0.848,-1.000,1
00622645160141503253200644665435,-1.000,-0.848,-0.848,0.848,-0.848,-0.848,-1.000,3
00165014460201210323451532165252,-1.000,-1.000,-1.000,0.848,0.848,-0.848,0.635,3
00520004024415131421451415366223,-1.000,-1.000,-0.848,0.848,-1.000,-0.848,-0.848,3
00040300566244544553634226163252,-1.000,0.848,-0.848,-0.848,-1.000,0.848,-0.848,1
00450356631150044630252443125334,-1.000,-0.848,-0.848,-1.000,-1.000,-0.848,-0.848,1
00445663210211126444512652123536,0.635,-1.000,-1.000,0.848,-0.848,-0.848,-0.848,3
00060163314512144444350350513212,-1.000,-1.000,0.635,-0.848,-1.000,-0.848,0.848,6
00656366255635604320001143421223,-1.000,-0.848,-0.848,-0.848,0.848,-0.848,-1.000,4
00065350014256466431326022446532,-1.000,0.848,-0.848,0.848,-0.848,0.848,-1.000,1
00616113013340410015442646263334,-1.000,-1.000,-0.848,-1.000,-1.000,0.848,-0.462,5
00254522655066252641050360611423,-1.000,-0.848,-1.000,0.000,-0.848,-1.000,-1.000,3
00556342121360216146006410435622,-1.000,-0.848,-0.848,0.848,-0.848,-0.848,-1.000,3
00444310210665602256422206541645,-1.000,0.462,-1.000,-0.848,-1.000,-0.762,-1.000,1
00260300601652243452522364416433,-1.000,-0.762,-1.000,-0.848,-0.848,0.848,-0.848,5
00102051626444062415644311206165,-1.000,-1.000,-0.848,0.848,-1.000,-0.848,-1.000,3
00614123350466461460054210465133,-1.000,-0.848,0.848,-0.848,-1.000,0.848,-1.000,2
00142153234455235616113300422540,-0.848,-0.848,-0.848,0.848,-0.848,0.848,-0.848,3
00660263442250213436212616011035,-1.000,-0.848,-1.000,0.848,-0.848,0.635,-1.000,3
0052323633550025522540231103644,-1.000,0.905,-1.000,-1.000,0.905,-1.000,-0.848,1
0013543602133445446622562505425,-0.848,-0.848,-0.848,0.905,-1.000,-1.000,-0.848,3
0050561522666316460023315501135,-1.000,-0.848,0.462,-0.848,-0.848,-1.000,-1.000,2
0024026563152604051440613441665,-1.000,0.762,0.762,0.905,-1.000,0.000,-1.000,3
0010654351505526124261345611034,0.000,-1.000,0.762,0.762,0.000,-1.000,0.000,2
0056116623632261004526312425131,0.905,-1.000,-1.000,0.762,0.905,0.762,-1.000,0
0052120064554466330662550415261,-1.000,0.905,-0.848,0.905,-0.848,-1.000,-1.000,1
0032601164216306021126440452216,-1.000,-1.000,-1.000,0.905,-0.848,-0.848,-1.000,3
0044361114023215622641102506546,-0.462,-1.000,-0.462,-0.848,-0.462,0.462,0.462,5
0042150360351041014436361413665,-1.000,-1.000,0.905,-0.848,-0.848,-0.848,-0.848,2
0065532665434121213240521662055,-0.848,-0.848,-1.000,-0.848,-0.848,-1.000,-0.848,0
0014565465204315034501233614103,-1.000,-0.848,0.905,0.905,-0.848,0.905,0.905,2
0054346043436254054330262252123,-0.635,-0.848,-1.000,-1.000,-1.000,-0.635,-0.635,0
0045166521201111445226226563653,-0.848,-1.000,-1.000,0.000,-0.848,-0.848,-1.000,3
0000466064103444455616623215311,-1.000,-0.848,-0.848,-0.848,-1.000,-0.848,-1.000,1
006415044451502164060365655461,-1.000,-0.905,-0.905,-0.905,-1.000,-1.000,-1.000,1
003566213665633046245110030141,-1.000,-0.462,-0.905,-0.462,-0.462,0.905,-1.000,5
005326515645556061341403604341,0.762,0.762,0.762,0.905,0.762,-1.000,0.905,3
001021432565553454310364135203,-0.905,-0.905,-0.905,-1.000,-0.905,-1.000,-0.905,0
004452062026406450631451241212,-1.000,0.762,-1.000,0.905,-1.000,0.905,0.762,3
003426616555104651011515430064,-1.000,-1.000,-0.905,-0.762,-0.848,-1.000,-0.848,3
003403265141562563040661344426,0.905,-0.905,0.905,-0.905,-1.000,-0.905,-1.000,0
002401145025441064045661255632,-1.000,-0.905,-0.905,0.762,-1.000,-0.905,-0.905,3
003130316515031520605251313454,-1.000,-1.000,0.000,-1.000,0.905,-1.000,0.762,4
002532244153056655101524626111,0.762,-1.000,0.762,0.905,0.762,-1.000,0.762,3
000122162415042645660542305462,-1.000,-0.905,-1.000,0.905,-0.905,-0.905,-0.905,3
005163351610012350315643405365,-1.000,0.762,0.905,-1.000,0.905,-1.000,0.762,2
001654134502111212350050442254,-1.000,-1.000,0.245,0.905,0.245,0.245,0.245,3
000550121233430320356143445164,-1.000,-0.905,-0.905,-1.000,-0.905,-0.905,-0.905,1
004214334466222411462635636350,-0.905,-0.905,-0.905,-0.905,-1.000,-0.905,-1.000,0
006324562245412613033202363515,-0.905,0.905,-1.000,-1.000,-0.905,-0.905,-0.905,1
001601546513631651544331654624,-0.905,-1.000,-0.462,0.905,-0.905,-0.905,-1.000,3
001431616535140600366543464413,-0.905,-0.905,0.905,-0.905,-1.000,0.905,-1.000,2
004413555321552252310436144121,-0.905,-1.000,-0.905,-0.905,-0.905,-1.000,-0.905,0
000414622512650506412160262456,-1.000,-0.905,-1.000,-0.905,-0.905,-0.905,-1.000,1
000623104155536326541120321312,0.000,-1.000,0.000,0.000,0.000,0.000,0.000,0
000060661564012651135423533364,-1.000,-0.905,-0.905,-0.905,0.905,0.905,-1.000,4
