move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
002255400011204332113631232446135455,-1.000,-1.000,-1.000,-1.000,0.000,0.000,0.000,4
006325562153320001113041652355146622,-1.000,-1.000,-1.000,-0.635,0.635,-1.000,-0.635,4
005132162460260132546641640442201153,-1.000,-1.000,-1.000,0.635,-1.000,0.635,-1.000,3
001014025221462503024441155254615633,-1.000,-1.000,-1.000,0.635,-1.000,-1.000,0.245,3
000441506433051111362044416225665222,-1.000,-1.000,-1.000,0.635,-1.000,0.245,0.245,3
00412056612104464360026642231535253,-1.000,-0.635,-1.000,0.762,-0.635,0.762,-1.000,3
00053031305404535535216634411462461,-1.000,-0.462,0.762,-1.000,-1.000,-1.000,-0.462,2
00511340040361226155154654336533622,-0.635,-0.635,0.762,-1.000,0.762,-1.000,-0.635,2
00133025663563065426055206313154141,-1.000,-0.635,-0.635,-1.000,0.762,-1.000,-1.000,4
00662433032001654526420135121646555,-1.000,-0.635,-0.635,-0.635,0.000,-1.000,-1.000,4
00513203461343203340045625565264561,-1.000,0.762,0.000,-1.000,0.000,-1.000,0.000,1
00664346631546105132510464045312133,-0.635,-1.000,-0.635,-1.000,-1.000,0.762,-1.000,5
00564025431305011123155134452043326,-1.000,-1.000,0.000,-1.000,0.000,-1.000,0.762,6
0050036266002362451351461225362515,-1.000,-0.762,-1.000,-0.762,-0.762,-1.000,-1.000,1
0066004162555340663144064413212555,-1.000,0.000,0.000,0.000,-1.000,-1.000,-1.000,1
0052553412142340042134455105033266,-1.000,0.762,-0.762,-0.462,-1.000,-1.000,-0.762,1
0053320020251330415614254653314665,-1.000,0.000,0.762,-1.000,0.462,-1.000,0.000,2
0042005563323662666555341323141115,-0.762,-0.762,-0.762,-1.000,0.762,-1.000,-1.000,4
0061051660125156516561504023244423,-1.000,-1.000,0.762,0.762,0.462,-1.000,-1.000,2
0050130223512445551664513614464662,-0.762,-0.762,-0.762,0.762,-1.000,-1.000,-1.000,3
0052620134011633024615551620636543,-1.000,0.762,-0.762,-0.762,-0.762,-0.762,-1.000,1
0011232056555643460442410214622515,-0.762,-0.762,-1.000,0.762,-1.000,-1.000,-0.762,3
0014006306566621110333614125343454,-1.000,-1.000,0.762,-1.000,-0.762,-0.762,-1.000,2
0023523115120100325526441341054423,-1.000,-1.000,-1.000,-0.762,-0.762,0.462,-0.762,5
0003051626311522206343404511262661,-1.000,-1.000,-1.000,-0.762,0.762,0.762,-1.000,4
0054124621634006110123241646033554,-1.000,-1.000,0.762,-0.762,-1.000,-0.762,0.000,2
0052641025014555400124424165126126,-1.000,-1.000,-1.000,-0.462,-1.000,-1.000,-0.462,3
0014016234366006502136154554545642,-1.000,-0.762,-0.762,0.762,-1.000,-1.000,-1.000,3
0045626125435050660023415442651223,-1.000,-0.762,-1.000,0.462,-0.762,-1.000,-0.762,3
006131233403661445664040052311316,-1.000,-1.000,-0.762,-1.000,-0.762,-0.762,-1.000,2
006002642660105334531326521112423,-1.000,-0.762,-1.000,0.848,0.848,-0.762,-0.762,3
001356164123306053265463053614051,-1.000,-0.762,-0.762,-1.000,0.848,-0.762,-1.000,4
000614644534135256312415543151660,-0.762,-1.000,-0.762,-0.762,-1.000,-1.000,-0.762,0
000105353003145145461622316231443,-1.000,-1.000,-0.762,-1.000,-0.762,-0.762,-0.762,2
003544610210543206055646253451422,-1.000,-0.762,-0.762,-0.762,-1.000,-1.000,0.848,6
004663014536441445000132625635155,-1.000,-0.762,-0.762,0.848,-1.000,-1.000,-0.762,3
000546016216556441330056456325241,-1.000,-0.762,0.848,0.635,-0.762,-1.000,-1.000,2
003244266006501260466134512115214,-1.000,-1.000,-0.635,0.848,-0.635,-0.635,-1.000,3
001366400145241552500522522634663,-1.000,-0.635,-1.000,0.848,-0.762,-1.000,-0.762,3
00524001466524651664501564531141,-0.462,-1.000,0.635,0.848,-1.000,-1.000,-1.000,3
00535445055310043323241135012644,-1.000,-0.848,0.848,-1.000,-1.000,-1.000,-0.848,2
00340655321120025015434261453366,-1.000,-0.762,-0.848,-0.848,0.848,-0.848,-0.848,4
00502524524240216403015156256316,-1.000,-0.848,-1.000,0.848,-0.848,-1.000,-0.848,3
00430253152152500015614214133453,-1.000,-1.000,0.000,-0.762,0.000,-1.000,-0.762,2
00520403244566326253532616245544,0.635,0.635,-1.000,0.848,-1.000,-1.000,0.635,3
00620605165426655621200245124511,-1.000,-0.848,-1.000,0.848,-0.848,-1.000,-1.000,3
00560226050025545564221211611613,-1.000,-1.000,-1.000,0.000,-0.848,-1.000,-0.848,3
00512565322016253426016056520634,-1.000,0.635,-1.000,0.848,0.245,-1.000,-1.000,3
00434065654606361422551140533013,-1.000,-0.848,0.848,-0.848,-0.848,-0.848,-0.848,2
00126314550005220162266532511134,-1.000,-1.000,-1.000,-0.848,-0.848,-0.848,-0.848,3
00201562402223641214515416164400,-1.000,-1.000,-1.000,-0.848,-1.000,-0.635,-0.762,5
00111011122644466362544224055655,-0.848,-1.000,-0.848,-0.848,-1.000,-0.848,-0.848,0
00654013466300550326543246645314,-1.000,-0.848,0.848,-0.848,-1.000,-0.848,-1.000,2
00335462005163620346150556322162,-1.000,-0.848,-0.848,-0.848,-0.848,-0.848,-1.000,1
00536223140430020223556141335215,-1.000,0.848,-1.000,-1.000,0.848,0.635,-0.848,1
00254665502121301602065525436216,-1.000,0.635,-1.000,0.000,0.635,-1.000,-1.000,1
00051325540522001524651266463166,-1.000,-0.762,-0.762,0.000,0.245,-1.000,-1.000,4
00050144112115615062205236266535,-1.000,-1.000,-0.848,0.635,0.848,-1.000,-0.848,4
00256404141663360065210651551532,-1.000,-0.848,0.848,-0.848,0.848,-1.000,-1.000,2
00210264541634623644451653113056,-0.848,-0.848,0.848,-0.848,-1.000,-0.848,-1.000,2
0020060333256122025661313642563,-1.000,0.905,-1.000,-1.000,0.905,-0.848,-1.000,1
0063654101663663202311103524444,-0.848,-0.848,0.905,-0.848,-0.848,0.905,-1.000,2
0043661036632416621102300553511,-1.000,-1.000,0.905,-0.848,0.762,-0.848,-1.000,2
0023456522630464242144555603150,0.762,0.905,-0.848,0.905,-1.000,-1.000,0.905,1
0023334404404250526406662155211,-1.000,-0.245,-0.635,-0.762,-1.000,-0.635,-0.635,1
0062350152333040603556166234112,-1.000,-0.848,-0.848,-1.000,0.905,-0.848,-0.848,4
0042644424165202054110502316126,-1.000,0.462,-1.000,0.905,-1.000,-0.848,-0.848,3
0015125535130306306264065631634,-1.000,-0.848,0.905,-1.000,0.905,-0.848,-1.000,2
0040636612363204135411414142366,-0.848,-1.000,0.905,-0.848,-1.000,-0.848,-1.000,2
0016160265616301451414543500563,-1.000,-1.000,0.762,0.905,0.905,0.762,-1.000,3
0051656643510143602054135015462,-1.000,-0.848,0.905,0.905,-0.848,-1.000,-0.848,2
0043325416133553245400400411113,-1.000,-1.000,-0.462,-1.000,-1.000,-0.848,-0.848,2
0043420315212562251051112644056,-0.848,-1.000,-1.000,0.762,-0.848,-0.848,-0.848,3
0041664453004305641125214521160,-1.000,-1.000,0.762,-0.848,-1.000,0.905,0.905,5
0036143224666501234023324642103,-0.848,-0.848,-1.000,-1.000,-0.462,-0.848,-0.848,4
0056626545115144033316540533066,-0.462,-0.848,-0.848,-0.848,-0.848,-1.000,-1.000,0
0035335615031236146160401645324,-0.848,-0.848,-0.848,-1.000,0.462,-0.848,-0.848,4
0023543451333050132542042066154,-1.000,-0.848,-0.848,-1.000,-0.848,-0.848,-0.848,1
0040064214120652650456212251145,-1.000,-0.848,-1.000,-0.848,0.905,-0.462,-0.848,4
002364212062055101651351062312,-1.000,-1.000,-1.000,-0.905,-0.905,-0.905,-0.905,3
004443565155512522220240131443,-0.905,-0.905,-1.000,0.905,-1.000,-1.000,-0.905,3
001656644605624431632202502125,-0.905,-0.848,-1.000,0.905,-0.905,-0.905,-1.000,3
003156155650411442402102053651,-1.000,-1.000,-0.905,-0.905,-0.905,-1.000,-0.905,2
003412623066100446650343254531,-1.000,0.905,-0.905,-0.905,0.905,0.905,-0.905,1
004304004062355121264515522141,-1.000,-0.905,-0.905,0.905,0.905,-0.905,-0.905,3
004163625135060055535364364013,-1.000,-0.848,-0.462,-1.000,0.905,-1.000,-0.848,4
005562115114030666201240153662,-1.000,-1.000,-0.762,0.762,-0.762,-0.762,-1.000,3
004345665025212653025245621461,-0.462,0.000,-1.000,-0.848,-0.462,-1.000,-0.462,1
000501641620130333664324322525,-1.000,0.905,-0.905,-1.000,-0.905,-0.905,-0.905,1
001456065462440360450462263215,-1.000,0.762,-0.848,-0.905,-1.000,-0.462,-1.000,1
004326336122141635231246532601,0.905,-0.905,-1.000,-1.000,0.905,-0.905,-0.905,0
006564452531024310525056013264,-1.000,-0.905,-0.905,-0.905,-0.905,-1.000,-0.905,1
006412542102654465220230064345,-1.000,0.905,-1.000,-0.905,-1.000,-0.462,-0.905,1
000005441106165116526253641633,-1.000,-1.000,-0.905,0.762,0.762,0.905,-1.000,5
002404644642135415065055506231,-1.000,-0.905,-0.905,0.000,-1.000,-1.000,-0.905,3
004152553333550214340456623626,-0.905,-0.905,-0.905,-1.000,0.245,-1.000,-0.905,4
004605040055415312515242361623,-1.000,-0.905,-0.905,0.905,-0.905,-1.000,0.762,3
005510322620561622521500416635,-1.000,0.762,-1.000,0.762,0.905,-1.000,0.762,4
000014141335434361112342053465,-0.905,-1.000,-0.905,-1.000,-1.000,0.905,-0.905,5
002021251135660451011352322065,-1.000,-1.000,-1.000,0.905,0.762,-0.905,-0.905,3
000023355053014134612634536615,-1.000,-0.905,0.905,-1.000,-0.905,-0.905,-0.905,2
000464222206456310522066545561,-1.000,-0.905,-1.000,0.905,-0.905,-0.905,-1.000,3
000303654105551160356216521632,-1.000,-0.905,0.905,-0.905,-0.905,-1.000,-0.905,2
005341065305356215023653103266,-1.000,-0.905,0.762,-1.000,-0.905,-1.000,-0.905,2
001160335160563335640356061211,-1.000,-1.000,0.762,-1.000,-0.905,-0.905,-1.000,2
004412061265203116556335431444,-0.905,-0.905,0.000,-0.905,-1.000,-0.905,-0.905,2
004456542644450625652153121122,-0.848,-0.848,-1.000,-0.905,-1.000,-1.000,0.462,6
004212016635313665501163165330,0.762,-1.000,0.905,-1.000,0.905,0.762,-1.000,2
005041056424236355064601655316,-1.000,-0.905,-0.905,0.762,-0.905,-1.000,-1.000,3
00306642042041052154312256645,-1.000,0.941,-0.905,-0.905,-0.905,-0.905,-0.905,1
00144501051502403241555421124,-1.000,-1.000,0.848,0.941,-1.000,-1.000,0.848,3
00065404005532533141362561466,-1.000,0.941,-0.905,0.462,0.462,-0.762,-0.762,1
00561223353114336051312162066,-0.762,-1.000,-0.762,-1.000,-0.905,-0.848,-0.848,0
00241054125601154204651446233,0.848,0.848,0.848,0.941,-1.000,0.848,0.941,3
00160000316136533242525335155,-1.000,-0.905,0.941,-1.000,0.848,-1.000,-0.905,2
00043000311142536546416351122,-1.000,-1.000,0.941,-0.905,-0.905,-0.905,-0.905,2
00162001545355010561261513636,-1.000,-1.000,0.941,0.941,0.848,-1.000,0.848,2
00605636313312026004223116132,-1.000,-0.462,-0.462,-1.000,-0.462,-0.848,-0.462,1
00105340111500353222326256246,-1.000,-0.905,-1.000,0.941,-0.905,-0.905,0.941,3
00200244161416242141122655045,-0.905,-1.000,-1.000,0.848,-1.000,-0.905,0.941,6
00005016346260341215265365242,-1.000,-0.905,-0.905,0.941,0.941,-0.905,-0.905,3
00201206612602444506444615555,-1.000,-0.905,-0.905,0.848,-1.000,-0.905,0.941,6
