move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
0066454325606154612115323605113,-0.848,-1.000,-0.848,-0.848,-0.848,-0.848,-1.000,0
0036011246545060126510333541366,-1.000,-0.848,0.762,-0.848,0.905,-0.848,-1.000,4
0013605550063033452356522134261,-1.000,-0.848,-0.848,-1.000,-0.848,-1.000,0.905,6
0043333624214460524453620226005,-1.000,-0.848,-1.000,-0.848,-1.000,0.000,-0.848,5
0044240132144265500204255552366,-1.000,0.762,-1.000,0.905,-1.000,-1.000,0.462,3
0065500366136024643603135115352,-1.000,-0.762,0.000,-1.000,-0.848,-0.762,-1.000,2
0055520313442332304142302255014,-1.000,0.905,-1.000,-1.000,-0.848,-0.848,-0.848,1
0040535461040124432430326336165,-1.000,-0.848,-0.848,-1.000,-1.000,0.000,-0.848,5
0022604445010654261541641651051,-1.000,-1.000,0.000,-0.848,-1.000,0.000,0.000,2
0043465105641304565550163262140,-1.000,-0.848,-0.848,0.905,0.905,-1.000,-0.848,3
0016415141603352250420421256160,-1.000,-1.000,-0.848,0.905,-0.848,-0.848,-0.848,3
0005360642012435536343145461362,-0.848,-0.848,0.905,-1.000,-0.848,0.905,-0.848,2
0003541250040626544525213245162,-1.000,-0.848,-1.000,-0.848,-0.848,-1.000,0.905,6
0062402505231142160164412012456,-1.000,-1.000,-1.000,-0.848,-0.462,0.905,-0.462,5
0056303260310361306535155154124,-1.000,-0.848,-0.848,-1.000,0.905,-1.000,-0.762,4
0046640134023345461453101636011,-1.000,-1.000,-0.848,-0.848,-1.000,0.905,0.905,5
0041145553611504350242120025164,-1.000,-1.000,0.762,0.905,-0.635,-1.000,-0.635,3
0036551344430315653162412466345,0.762,0.762,0.762,-1.000,-1.000,0.762,0.462,0
0043023423402350222530411564516,-1.000,0.462,-1.000,-0.848,-0.848,-0.848,-0.848,1
0000024512251264110451622656316,-1.000,-1.000,-1.000,0.905,0.762,0.762,0.762,3
0064612044540216425643655602530,-1.000,0.762,0.905,0.905,-1.000,0.762,-1.000,2
0021511266352561333210633420460,-0.762,-0.762,-0.762,-1.000,0.000,0.462,-0.762,5
0046051234524151002401142225546,-1.000,0.000,-1.000,0.905,-1.000,0.000,0.000,3
0003053023125146310353652554224,-1.000,0.762,-0.848,-1.000,0.905,-1.000,-0.848,4
004654132446515644653565601310,0.462,-0.905,-0.905,-0.905,-1.000,-1.000,-1.000,0
005411262661445604521503521416,-0.905,-1.000,-0.905,0.905,-0.905,-0.905,-0.905,3
006265101106610034162554124565,-1.000,-1.000,-0.905,-0.905,-0.905,-0.905,-1.000,2
001252652156516162045204600336,-1.000,0.762,-0.905,-0.905,0.905,0.905,-1.000,4
