move_sequence,col0,col1,col2,col3,col4,col5,col6,best_col
03266365,-1.000,-1.000,-1.000,-1.000,-0.905,-1.000,-1.000,4
0100232553,-0.995,-0.997,0.635,0.462,-0.762,-0.635,-0.905,2
0111232566,-0.635,0.000,0.997,0.997,-0.462,0.635,-0.635,2
1141435363,-0.999,-0.999,-0.999,-0.941,-0.999,-0.999,-0.999,3
11636554,-1.000,-1.000,-0.635,-1.000,-1.000,-1.000,-1.000,2
0100215456,-0.635,0.000,0.000,-0.462,0.000,0.462,-0.462,5
1151516464,-0.999,-0.987,-0.999,-0.999,-0.999,-0.999,-0.999,1
1141131143,-0.964,-1.000,-0.905,-0.635,-0.635,-0.941,-0.941,3
0202232444,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,0
0000306363,-0.848,-0.848,-0.848,-0.762,-0.762,-0.762,-0.762,3
03265662,-0.848,-0.848,-0.635,-0.762,-0.848,-0.635,-0.762,2
03142533,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-0.762,6
0000306366,-0.762,-0.635,-0.635,0.635,-0.462,0.462,-0.635,3
001550566,0.635,-0.635,-0.462,0.635,-0.992,-0.635,-0.762,0
0111236555,-0.762,-0.462,-0.635,0.462,-0.762,0.000,-0.762,3
0126263662,0.000,0.462,0.000,0.848,0.762,0.462,-0.462,3
1043343665,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0
0100215446,-0.462,-0.462,-0.245,-0.245,0.635,0.000,-0.462,4
21111414,-0.762,-0.762,-0.635,-0.635,-0.635,-0.848,-0.635,2
0454555665,-0.848,-0.762,-0.762,-0.462,-0.462,-0.848,-0.462,3
1001332366,-0.762,-0.848,-0.762,-0.762,0.999,-0.848,-0.762,4
11123555,-0.462,-0.462,-0.462,0.848,-0.462,-0.462,-0.462,3
11311644,0.462,0.462,1.000,0.635,0.462,0.462,0.462,2
0062202324,-0.999,-0.999,0.999,-0.999,-0.999,-0.999,-0.999,2
02005,0.000,-0.462,0.462,0.000,-0.462,0.462,-0.462,2
1124442466,-0.462,-0.462,0.905,0.905,-0.462,-0.462,-0.462,2
2331311662,0.762,0.762,0.848,0.848,0.762,0.762,0.848,2
0014153566,0.992,0.998,0.999,0.992,0.992,0.848,0.762,2
2122636,0.462,0.762,0.762,0.462,0.462,0.462,0.462,1
0100215442,0.000,-0.462,0.245,-0.462,0.462,-0.462,-0.245,4
0411013355,0.998,-0.462,0.999,-0.635,-0.462,-0.462,-0.848,2
0066066166,-0.462,0.245,-0.635,0.245,0.245,0.000,-1.000,1
0411110122,0.998,-0.462,0.462,0.999,0.462,-0.245,-0.462,3
002144143,-0.999,-0.999,-0.999,-0.999,-0.999,0.762,-0.999,5
0366060665,0.999,-0.762,-0.462,0.462,-0.462,0.000,-0.848,0
0000300663,-1.000,-0.635,-0.462,-0.462,-0.635,-0.635,-0.635,2
020203656,0.987,-0.999,-0.999,-0.999,1.000,-0.999,-0.999,4
0010233644,-0.462,-0.635,-0.635,0.000,-0.462,-0.762,-0.848,3
0000300666,-1.000,0.635,0.848,0.762,0.462,0.635,-0.462,2
11151655,-0.848,0.848,-0.635,0.848,0.245,-0.848,-0.762,1
1335456552,-0.635,0.635,-0.462,0.762,0.635,-0.635,0.000,3
0202232331,-0.999,-0.999,-0.999,-0.999,0.462,-0.999,-0.999,4
1043555353,-0.999,-0.999,-0.999,-0.905,-0.999,-0.999,-0.999,3
1124442446,-0.941,-0.462,0.905,0.905,-0.762,-0.462,-0.762,2
1001332336,0.000,0.000,-0.245,0.000,0.999,-0.462,-0.762,4
0061656646,-0.635,0.000,-0.635,0.000,-0.462,-0.635,-0.635,1
025224664,-0.462,-0.462,-0.462,-0.462,-0.462,-0.462,-0.635,0
03155455,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,0
21344246,0.635,0.762,0.635,0.762,0.762,0.762,0.762,1
0010506266,0.000,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,0
01113446,-0.462,0.762,-0.462,0.762,0.762,-0.462,-0.462,1
0014153353,0.635,0.998,0.999,0.635,-0.762,0.848,0.635,2
3042636332,-0.848,-0.992,-0.635,-0.848,0.998,0.999,0.998,5
03001334,-0.999,-0.999,-0.762,-0.999,-0.999,-0.848,-0.848,2
02433,-0.848,-0.941,-0.762,0.000,-0.462,-0.848,-0.848,3
0066066063,-0.905,-0.905,-0.848,-0.245,-0.905,-0.762,-0.905,3
2331311552,0.848,0.848,0.905,0.905,0.905,0.848,0.848,2
1123354666,0.000,0.000,-0.462,0.762,0.762,0.635,0.000,3
2122655,0.245,0.462,0.762,-0.462,-0.245,0.462,0.000,2
0202244045,-0.999,-0.999,-0.999,0.762,-0.999,-0.999,-0.999,3
11464424,-0.635,0.000,-0.245,1.000,-0.635,-0.762,0.000,3
11115262,-0.635,-0.635,-0.245,-0.462,-0.245,-0.635,-0.635,2
3033444546,0.000,0.635,0.635,-0.462,0.635,-0.462,0.462,1
03003665,-1.000,-1.000,-1.000,-1.000,-0.245,-1.000,-1.000,4
1124442434,0.999,-0.999,-0.999,-0.999,0.905,-0.999,-0.999,0
0202232244,0.000,-0.905,-0.941,0.635,-0.941,-0.978,-0.941,3
1005152226,-0.995,0.462,-0.462,0.635,0.762,-0.995,-0.995,4
0010511665,0.000,0.462,0.000,0.000,0.000,0.245,-0.245,1
1053544566,-0.462,-0.462,-0.462,-0.462,0.762,-0.462,-0.462,4
0202220233,0.999,0.462,0.462,0.997,-0.462,0.462,0.462,0
0411224242,-0.999,-0.999,-0.848,0.999,-0.999,-0.999,-0.999,3
2000404264,-0.848,-0.762,-0.462,0.998,-0.462,-0.762,-0.462,3
0000311114,0.462,0.462,0.245,0.635,0.762,0.245,0.245,4
0121255355,0.462,0.462,0.462,-0.462,0.462,0.000,0.635,6
03115166,-0.848,-0.848,-0.941,-0.635,-0.848,-0.848,-0.848,3
1141435454,-0.987,-0.848,-0.964,-0.762,-0.905,-0.848,-0.978,3
023434336,-0.462,-0.635,-0.462,-0.635,-0.462,-0.762,-0.762,0
0100215334,-0.462,0.635,-0.245,0.762,-0.462,-0.462,-0.848,3
21436366,-0.995,-0.848,-0.848,-0.462,-0.905,-0.964,-0.978,3
11611164,-0.635,-0.635,-0.635,-0.462,-0.462,-0.462,-0.462,3
00100666,-0.462,0.000,-0.462,0.848,-0.245,0.000,0.000,3
0000311136,0.762,0.848,0.848,0.848,0.762,0.762,0.762,1
1141131165,-0.848,-1.000,-0.635,0.762,-0.635,-0.762,-0.635,3
